0,s
28058.80c fission,0
28058.80c n2n,0
28058.80c ngamma,0
28058.80c np,0
28058.80c nd,0
28058.80c nt,0
28058.80c n3he,0
28058.80c nalpha,0
28058.80c total nu,0
28058.80c fission chi,0
28060.80c elastic,0
28060.80c inelastic,0
28060.80c fission,0
28060.80c n2n,0
28060.80c ngamma,0
28060.80c np,0
28060.80c nd,0
28060.80c nt,0
28060.80c n3he,0
28060.80c nalpha,0
28060.80c total nu,0
28060.80c fission chi,0
28061.80c elastic,0
28061.80c inelastic,0
28061.80c fission,0
28061.80c n2n,0
28061.80c ngamma,0
28061.80c np,0
28061.80c nd,0
28061.80c nt,0
28061.80c n3he,0
28061.80c nalpha,0
28061.80c total nu,0
28061.80c fission chi,0
28062.80c elastic,0
28062.80c inelastic,0
28062.80c fission,0
28062.80c n2n,0
28062.80c ngamma,0
28062.80c np,0
28062.80c nd,0
28062.80c nt,0
28062.80c n3he,0
28062.80c nalpha,0
28062.80c total nu,0
28062.80c fission chi,0
28064.80c elastic,0
28064.80c inelastic,0
28064.80c fission,0
28064.80c n2n,0
28064.80c ngamma,0
28064.80c np,0
28064.80c nd,0
28064.80c nt,0
28064.80c n3he,0
28064.80c nalpha,0
28064.80c total nu,0
28064.80c fission chi,0
4009.80c elastic,0
4009.80c inelastic,0
4009.80c fission,0
4009.80c n2n,0
4009.80c ngamma,0
4009.80c np,0
4009.80c nd,0
4009.80c nt,0
4009.80c n3he,0
4009.80c nalpha,0
4009.80c total nu,0
4009.80c fission chi,0
14028.80c elastic,0
14028.80c inelastic,0
14028.80c fission,0
14028.80c n2n,0
14028.80c ngamma,0
14028.80c np,0
14028.80c nd,0
14028.80c nt,0
14028.80c n3he,0
14028.80c nalpha,0
14028.80c total nu,0
14028.80c fission chi,0
14029.80c elastic,0
14029.80c inelastic,0
14029.80c fission,0
14029.80c n2n,0
14029.80c ngamma,0
14029.80c np,0
14029.80c nd,0
14029.80c nt,0
14029.80c n3he,0
14029.80c nalpha,0
14029.80c total nu,0
14029.80c fission chi,0
14030.80c elastic,0
14030.80c inelastic,0
14030.80c fission,0
14030.80c n2n,0
14030.80c ngamma,0
14030.80c np,0
14030.80c nd,0
14030.80c nt,0
14030.80c n3he,0
14030.80c nalpha,0
14030.80c total nu,0
14030.80c fission chi,0
22046.80c elastic,0
22046.80c inelastic,0
22046.80c fission,0
22046.80c n2n,0
22046.80c ngamma,0
22046.80c np,0
22046.80c nd,0
22046.80c nt,0
22046.80c n3he,0
22046.80c nalpha,0
22046.80c total nu,0
22046.80c fission chi,0
22047.80c elastic,0
22047.80c inelastic,0
22047.80c fission,0
22047.80c n2n,0
22047.80c ngamma,0
22047.80c np,0
22047.80c nd,0
22047.80c nt,0
22047.80c n3he,0
22047.80c nalpha,0
22047.80c total nu,0
22047.80c fission chi,0
22048.80c elastic,0
22048.80c inelastic,0
22048.80c fission,0
22048.80c n2n,0
22048.80c ngamma,0
22048.80c np,0
22048.80c nd,0
22048.80c nt,0
22048.80c n3he,0
22048.80c nalpha,0
22048.80c total nu,0
22048.80c fission chi,0
22049.80c elastic,0
22049.80c inelastic,0
22049.80c fission,0
22049.80c n2n,0
22049.80c ngamma,0
22049.80c np,0
22049.80c nd,0
22049.80c nt,0
22049.80c n3he,0
22049.80c nalpha,0
22049.80c total nu,0
22049.80c fission chi,0
22050.80c elastic,0
22050.80c inelastic,0
22050.80c fission,0
22050.80c n2n,0
22050.80c ngamma,0
22050.80c np,0
22050.80c nd,0
22050.80c nt,0
22050.80c n3he,0
22050.80c nalpha,0
22050.80c total nu,0
22050.80c fission chi,0
24050.80c elastic,0
24050.80c inelastic,0
24050.80c fission,0
24050.80c n2n,0
24050.80c ngamma,0
24050.80c np,0
24050.80c nd,0
24050.80c nt,0
24050.80c n3he,0
24050.80c nalpha,0
24050.80c total nu,0
24050.80c fission chi,0
24052.80c elastic,0
24052.80c inelastic,0
24052.80c fission,0
24052.80c n2n,0
24052.80c ngamma,0
24052.80c np,0
24052.80c nd,0
24052.80c nt,0
24052.80c n3he,0
24052.80c nalpha,0
24052.80c total nu,0
24052.80c fission chi,0
24053.80c elastic,0
24053.80c inelastic,0
24053.80c fission,0
24053.80c n2n,0
24053.80c ngamma,0
24053.80c np,0
24053.80c nd,0
24053.80c nt,0
24053.80c n3he,0
24053.80c nalpha,0
24053.80c total nu,0
24053.80c fission chi,0
24054.80c elastic,0
24054.80c inelastic,0
24054.80c fission,0
24054.80c n2n,0
24054.80c ngamma,0
24054.80c np,0
24054.80c nd,0
24054.80c nt,0
24054.80c n3he,0
24054.80c nalpha,0
24054.80c total nu,0
24054.80c fission chi,0
42092.80c elastic,0
42092.80c inelastic,0
42092.80c fission,0
42092.80c n2n,0
42092.80c ngamma,0
42092.80c np,0
42092.80c nd,0
42092.80c nt,0
42092.80c n3he,0
42092.80c nalpha,0
42092.80c total nu,0
42092.80c fission chi,0
42094.80c elastic,0
42094.80c inelastic,0
42094.80c fission,0
42094.80c n2n,0
42094.80c ngamma,0
42094.80c np,0
42094.80c nd,0
42094.80c nt,0
42094.80c n3he,0
42094.80c nalpha,0
42094.80c total nu,0
42094.80c fission chi,0
42095.80c elastic,0
42095.80c inelastic,0
42095.80c fission,0
42095.80c n2n,0
42095.80c ngamma,0
42095.80c np,0
42095.80c nd,0
42095.80c nt,0
42095.80c n3he,0
42095.80c nalpha,0
42095.80c total nu,0
42095.80c fission chi,0
42096.80c elastic,0
42096.80c inelastic,0
42096.80c fission,0
42096.80c n2n,0
42096.80c ngamma,0
42096.80c np,0
42096.80c nd,0
42096.80c nt,0
42096.80c n3he,0
42096.80c nalpha,0
42096.80c total nu,0
42096.80c fission chi,0
42097.80c elastic,0
42097.80c inelastic,0
42097.80c fission,0
42097.80c n2n,0
42097.80c ngamma,0
42097.80c np,0
42097.80c nd,0
42097.80c nt,0
42097.80c n3he,0
42097.80c nalpha,0
42097.80c total nu,0
42097.80c fission chi,0
42098.80c elastic,0
42098.80c inelastic,0
42098.80c fission,0
42098.80c n2n,0
42098.80c ngamma,0
42098.80c np,0
42098.80c nd,0
42098.80c nt,0
42098.80c n3he,0
42098.80c nalpha,0
42098.80c total nu,0
42098.80c fission chi,0
42100.80c elastic,0
42100.80c inelastic,0
42100.80c fission,0
42100.80c n2n,0
42100.80c ngamma,0
42100.80c np,0
42100.80c nd,0
42100.80c nt,0
42100.80c n3he,0
42100.80c nalpha,0
42100.80c total nu,0
42100.80c fission chi,0
be.20t elastic,0
be.20t inelastic,0
be.20t fission,0
be.20t n2n,0
be.20t ngamma,0
be.20t np,0
be.20t nd,0
be.20t nt,0
be.20t n3he,0
be.20t nalpha,0
be.20t total nu,0
be.20t fission chi,0
9019.80c elastic,0
9019.80c inelastic,0
9019.80c fission,0
9019.80c n2n,0
9019.80c ngamma,0
9019.80c np,0
9019.80c nd,0
9019.80c nt,0
9019.80c n3he,0
9019.80c nalpha,0
9019.80c total nu,0
9019.80c fission chi,0
29063.80c elastic,0
29063.80c inelastic,0
29063.80c fission,0
29063.80c n2n,0
29063.80c ngamma,0
29063.80c np,0
29063.80c nd,0
29063.80c nt,0
29063.80c n3he,0
29063.80c nalpha,0
29063.80c total nu,0
29063.80c fission chi,0
29065.80c elastic,0
29065.80c inelastic,0
29065.80c fission,0
29065.80c n2n,0
29065.80c ngamma,0
29065.80c np,0
29065.80c nd,0
29065.80c nt,0
29065.80c n3he,0
29065.80c nalpha,0
29065.80c total nu,0
29065.80c fission chi,0
be-o.20t elastic,0
be-o.20t inelastic,0
be-o.20t fission,0
be-o.20t n2n,0
be-o.20t ngamma,0
be-o.20t np,0
be-o.20t nd,0
be-o.20t nt,0
be-o.20t n3he,0
be-o.20t nalpha,0
be-o.20t total nu,0
be-o.20t fission chi,0
o-be.20t elastic,0
o-be.20t inelastic,0
o-be.20t fission,0
o-be.20t n2n,0
o-be.20t ngamma,0
o-be.20t np,0
o-be.20t nd,0
o-be.20t nt,0
o-be.20t n3he,0
o-be.20t nalpha,0
o-be.20t total nu,0
o-be.20t fission chi,0
5010.80c elastic,0
5010.80c inelastic,0
5010.80c fission,0
5010.80c n2n,0
5010.80c ngamma,0
5010.80c np,0
5010.80c nd,0
5010.80c nt,0
5010.80c n3he,0
5010.80c nalpha,0
5010.80c total nu,0
5010.80c fission chi,0
5011.80c elastic,0
5011.80c inelastic,0
5011.80c fission,0
5011.80c n2n,0
5011.80c ngamma,0
5011.80c np,0
5011.80c nd,0
5011.80c nt,0
5011.80c n3he,0
5011.80c nalpha,0
5011.80c total nu,0
5011.80c fission chi,0
74180.80c elastic,0
74180.80c inelastic,0
74180.80c fission,0
74180.80c n2n,0
74180.80c ngamma,0
74180.80c np,0
74180.80c nd,0
74180.80c nt,0
74180.80c n3he,0
74180.80c nalpha,0
74180.80c total nu,0
74180.80c fission chi,0
12024.80c elastic,0
12024.80c inelastic,0
12024.80c fission,0
12024.80c n2n,0
12024.80c ngamma,0
12024.80c np,0
12024.80c nd,0
12024.80c nt,0
12024.80c n3he,0
12024.80c nalpha,0
12024.80c total nu,0
12024.80c fission chi,0
12025.80c elastic,0
12025.80c inelastic,0
12025.80c fission,0
12025.80c n2n,0
12025.80c ngamma,0
12025.80c np,0
12025.80c nd,0
12025.80c nt,0
12025.80c n3he,0
12025.80c nalpha,0
12025.80c total nu,0
12025.80c fission chi,0
12026.80c elastic,0
12026.80c inelastic,0
12026.80c fission,0
12026.80c n2n,0
12026.80c ngamma,0
12026.80c np,0
12026.80c nd,0
12026.80c nt,0
12026.80c n3he,0
12026.80c nalpha,0
12026.80c total nu,0
12026.80c fission chi,0
1002.80c elastic,0
1002.80c inelastic,0
1002.80c fission,0
1002.80c n2n,0
1002.80c ngamma,0
1002.80c np,0
1002.80c nd,0
1002.80c nt,0
1002.80c n3he,0
1002.80c nalpha,0
1002.80c total nu,0
1002.80c fission chi,0
7015.80c elastic,0
7015.80c inelastic,0
7015.80c fission,0
7015.80c n2n,0
7015.80c ngamma,0
7015.80c np,0
7015.80c nd,0
7015.80c nt,0
7015.80c n3he,0
7015.80c nalpha,0
7015.80c total nu,0
7015.80c fission chi,0
23050.80c elastic,0
23050.80c inelastic,0
23050.80c fission,0
23050.80c n2n,0
23050.80c ngamma,0
23050.80c np,0
23050.80c nd,0
23050.80c nt,0
23050.80c n3he,0
23050.80c nalpha,0
23050.80c total nu,0
23050.80c fission chi,0
23051.80c elastic,0
23051.80c inelastic,0
23051.80c fission,0
23051.80c n2n,0
23051.80c ngamma,0
23051.80c np,0
23051.80c nd,0
23051.80c nt,0
23051.80c n3he,0
23051.80c nalpha,0
23051.80c total nu,0
23051.80c fission chi,0
82204.80c elastic,0
82204.80c inelastic,0
82204.80c fission,0
82204.80c n2n,0
82204.80c ngamma,0
82204.80c np,0
82204.80c nd,0
82204.80c nt,0
82204.80c n3he,0
82204.80c nalpha,0
82204.80c total nu,0
82204.80c fission chi,0
82206.80c elastic,0
82206.80c inelastic,0
82206.80c fission,0
82206.80c n2n,0
82206.80c ngamma,0
82206.80c np,0
82206.80c nd,0
82206.80c nt,0
82206.80c n3he,0
82206.80c nalpha,0
82206.80c total nu,0
82206.80c fission chi,0
82207.80c elastic,0
82207.80c inelastic,0
82207.80c fission,0
82207.80c n2n,0
82207.80c ngamma,0
82207.80c np,0
82207.80c nd,0
82207.80c nt,0
82207.80c n3he,0
82207.80c nalpha,0
82207.80c total nu,0
82207.80c fission chi,0
82208.80c elastic,0
82208.80c inelastic,0
82208.80c fission,0
82208.80c n2n,0
82208.80c ngamma,0
82208.80c np,0
82208.80c nd,0
82208.80c nt,0
82208.80c n3he,0
82208.80c nalpha,0
82208.80c total nu,0
82208.80c fission chi,0
48106.80c elastic,0
48106.80c inelastic,0
48106.80c fission,0
48106.80c n2n,0
48106.80c ngamma,0
48106.80c np,0
48106.80c nd,0
48106.80c nt,0
48106.80c n3he,0
48106.80c nalpha,0
48106.80c total nu,0
48106.80c fission chi,0
48108.80c elastic,0
48108.80c inelastic,0
48108.80c fission,0
48108.80c n2n,0
48108.80c ngamma,0
48108.80c np,0
48108.80c nd,0
48108.80c nt,0
48108.80c n3he,0
48108.80c nalpha,0
48108.80c total nu,0
48108.80c fission chi,0
48110.80c elastic,0
48110.80c inelastic,0
48110.80c fission,0
48110.80c n2n,0
48110.80c ngamma,0
48110.80c np,0
48110.80c nd,0
48110.80c nt,0
48110.80c n3he,0
48110.80c nalpha,0
48110.80c total nu,0
48110.80c fission chi,0
48111.80c elastic,0
48111.80c inelastic,0
48111.80c fission,0
48111.80c n2n,0
48111.80c ngamma,0
48111.80c np,0
48111.80c nd,0
48111.80c nt,0
48111.80c n3he,0
48111.80c nalpha,0
48111.80c total nu,0
48111.80c fission chi,0
48112.80c elastic,0
48112.80c inelastic,0
48112.80c fission,0
48112.80c n2n,0
48112.80c ngamma,0
48112.80c np,0
48112.80c nd,0
48112.80c nt,0
48112.80c n3he,0
48112.80c nalpha,0
48112.80c total nu,0
48112.80c fission chi,0
48113.80c elastic,0
48113.80c inelastic,0
48113.80c fission,0
48113.80c n2n,0
48113.80c ngamma,0
48113.80c np,0
48113.80c nd,0
48113.80c nt,0
48113.80c n3he,0
48113.80c nalpha,0
48113.80c total nu,0
48113.80c fission chi,0
48114.80c elastic,0
48114.80c inelastic,0
48114.80c fission,0
48114.80c n2n,0
48114.80c ngamma,0
48114.80c np,0
48114.80c nd,0
48114.80c nt,0
48114.80c n3he,0
48114.80c nalpha,0
48114.80c total nu,0
48114.80c fission chi,0
48116.80c elastic,0
48116.80c inelastic,0
48116.80c fission,0
48116.80c n2n,0
48116.80c ngamma,0
48116.80c np,0
48116.80c nd,0
48116.80c nt,0
48116.80c n3he,0
48116.80c nalpha,0
48116.80c total nu,0
48116.80c fission chi,0
30064.80c elastic,0
30064.80c inelastic,0
30064.80c fission,0
30064.80c n2n,0
30064.80c ngamma,0
30064.80c np,0
30064.80c nd,0
30064.80c nt,0
30064.80c n3he,0
30064.80c nalpha,0
30064.80c total nu,0
30064.80c fission chi,0
30066.80c elastic,0
30066.80c inelastic,0
30066.80c fission,0
30066.80c n2n,0
30066.80c ngamma,0
30066.80c np,0
30066.80c nd,0
30066.80c nt,0
30066.80c n3he,0
30066.80c nalpha,0
30066.80c total nu,0
30066.80c fission chi,0
30067.80c elastic,0
30067.80c inelastic,0
30067.80c fission,0
30067.80c n2n,0
30067.80c ngamma,0
30067.80c np,0
30067.80c nd,0
30067.80c nt,0
30067.80c n3he,0
30067.80c nalpha,0
30067.80c total nu,0
30067.80c fission chi,0
30068.80c elastic,0
30068.80c inelastic,0
30068.80c fission,0
30068.80c n2n,0
30068.80c ngamma,0
30068.80c np,0
30068.80c nd,0
30068.80c nt,0
30068.80c n3he,0
30068.80c nalpha,0
30068.80c total nu,0
30068.80c fission chi,0
30070.80c elastic,0
30070.80c inelastic,0
30070.80c fission,0
30070.80c n2n,0
30070.80c ngamma,0
30070.80c np,0
30070.80c nd,0
30070.80c nt,0
30070.80c n3he,0
30070.80c nalpha,0
30070.80c total nu,0
30070.80c fission chi,0
11023.80c elastic,0
11023.80c inelastic,0
11023.80c fission,0
11023.80c n2n,0
11023.80c ngamma,0
11023.80c np,0
11023.80c nd,0
11023.80c nt,0
11023.80c n3he,0
11023.80c nalpha,0
11023.80c total nu,0
11023.80c fission chi,0
27059.80c elastic,0
27059.80c inelastic,0
27059.80c fission,0
27059.80c n2n,0
27059.80c ngamma,0
27059.80c np,0
27059.80c nd,0
27059.80c nt,0
27059.80c n3he,0
27059.80c nalpha,0
27059.80c total nu,0
27059.80c fission chi,0
47107.80c elastic,0
47107.80c inelastic,0
47107.80c fission,0
47107.80c n2n,0
47107.80c ngamma,0
47107.80c np,0
47107.80c nd,0
47107.80c nt,0
47107.80c n3he,0
47107.80c nalpha,0
47107.80c total nu,0
47107.80c fission chi,0
47109.80c elastic,0
47109.80c inelastic,0
47109.80c fission,0
47109.80c n2n,0
47109.80c ngamma,0
47109.80c np,0
47109.80c nd,0
47109.80c nt,0
47109.80c n3he,0
47109.80c nalpha,0
47109.80c total nu,0
47109.80c fission chi,0
51121.80c elastic,0
51121.80c inelastic,0
51121.80c fission,0
51121.80c n2n,0
51121.80c ngamma,0
51121.80c np,0
51121.80c nd,0
51121.80c nt,0
51121.80c n3he,0
51121.80c nalpha,0
51121.80c total nu,0
51121.80c fission chi,0
51123.80c elastic,0
51123.80c inelastic,0
51123.80c fission,0
51123.80c n2n,0
51123.80c ngamma,0
51123.80c np,0
51123.80c nd,0
51123.80c nt,0
51123.80c n3he,0
51123.80c nalpha,0
51123.80c total nu,0
51123.80c fission chi,0
83209.80c elastic,0
83209.80c inelastic,0
83209.80c fission,0
83209.80c n2n,0
83209.80c ngamma,0
83209.80c np,0
83209.80c nd,0
83209.80c nt,0
83209.80c n3he,0
83209.80c nalpha,0
83209.80c total nu,0
83209.80c fission chi,0
51000.42c elastic,0
51000.42c inelastic,0
51000.42c fission,0
51000.42c n2n,0
51000.42c ngamma,0
51000.42c np,0
51000.42c nd,0
51000.42c nt,0
51000.42c n3he,0
51000.42c nalpha,0
51000.42c total nu,0
51000.42c fission chi,0
47107.66c elastic,0
47107.66c inelastic,0
47107.66c fission,0
47107.66c n2n,0
47107.66c ngamma,0
47107.66c np,0
47107.66c nd,0
47107.66c nt,0
47107.66c n3he,0
47107.66c nalpha,0
47107.66c total nu,0
47107.66c fission chi,0
47109.66c elastic,0
47109.66c inelastic,0
47109.66c fission,0
47109.66c n2n,0
47109.66c ngamma,0
47109.66c np,0
47109.66c nd,0
47109.66c nt,0
47109.66c n3he,0
47109.66c nalpha,0
47109.66c total nu,0
47109.66c fission chi,0
83209.66c elastic,0
83209.66c inelastic,0
83209.66c fission,0
83209.66c n2n,0
83209.66c ngamma,0
83209.66c np,0
83209.66c nd,0
83209.66c nt,0
83209.66c n3he,0
83209.66c nalpha,0
83209.66c total nu,0
83209.66c fission chi,0
20040.80c elastic,0
20040.80c inelastic,0
20040.80c fission,0
20040.80c n2n,0
20040.80c ngamma,0
20040.80c np,0
20040.80c nd,0
20040.80c nt,0
20040.80c n3he,0
20040.80c nalpha,0
20040.80c total nu,0
20040.80c fission chi,0
20042.80c elastic,0
