0,s
17037.80c n2n,0
17037.80c ngamma,0
17037.80c np,0
17037.80c nd,0
17037.80c nt,0
17037.80c n3he,0
17037.80c nalpha,0
17037.80c total nu,0
17037.80c fission chi,0
15031.80c elastic,0
15031.80c inelastic,0
15031.80c fission,0
15031.80c n2n,0
15031.80c ngamma,0
15031.80c np,0
15031.80c nd,0
15031.80c nt,0
15031.80c n3he,0
15031.80c nalpha,0
15031.80c total nu,0
15031.80c fission chi,0
16033.80c elastic,0
16033.80c inelastic,0
16033.80c fission,0
16033.80c n2n,0
16033.80c ngamma,0
16033.80c np,0
16033.80c nd,0
16033.80c nt,0
16033.80c n3he,0
16033.80c nalpha,0
16033.80c total nu,0
16033.80c fission chi,0
16034.80c elastic,0
16034.80c inelastic,0
16034.80c fission,0
16034.80c n2n,0
16034.80c ngamma,0
16034.80c np,0
16034.80c nd,0
16034.80c nt,0
16034.80c n3he,0
16034.80c nalpha,0
16034.80c total nu,0
16034.80c fission chi,0
16036.80c elastic,0
16036.80c inelastic,0
16036.80c fission,0
16036.80c n2n,0
16036.80c ngamma,0
16036.80c np,0
16036.80c nd,0
16036.80c nt,0
16036.80c n3he,0
16036.80c nalpha,0
16036.80c total nu,0
16036.80c fission chi,0
31069.80c elastic,0
31069.80c inelastic,0
31069.80c fission,0
31069.80c n2n,0
31069.80c ngamma,0
31069.80c np,0
31069.80c nd,0
31069.80c nt,0
31069.80c n3he,0
31069.80c nalpha,0
31069.80c total nu,0
31069.80c fission chi,0
31071.80c elastic,0
31071.80c inelastic,0
31071.80c fission,0
31071.80c n2n,0
31071.80c ngamma,0
31071.80c np,0
31071.80c nd,0
31071.80c nt,0
31071.80c n3he,0
31071.80c nalpha,0
31071.80c total nu,0
31071.80c fission chi,0
40090.80c elastic,0
40090.80c inelastic,0
40090.80c fission,0
40090.80c n2n,0
40090.80c ngamma,0
40090.80c np,0
40090.80c nd,0
40090.80c nt,0
40090.80c n3he,0
40090.80c nalpha,0
40090.80c total nu,0
40090.80c fission chi,0
40091.80c elastic,0
40091.80c inelastic,0
40091.80c fission,0
40091.80c n2n,0
40091.80c ngamma,0
40091.80c np,0
40091.80c nd,0
40091.80c nt,0
40091.80c n3he,0
40091.80c nalpha,0
40091.80c total nu,0
40091.80c fission chi,0
40092.80c elastic,0
40092.80c inelastic,0
40092.80c fission,0
40092.80c n2n,0
40092.80c ngamma,0
40092.80c np,0
40092.80c nd,0
40092.80c nt,0
40092.80c n3he,0
40092.80c nalpha,0
40092.80c total nu,0
40092.80c fission chi,0
40094.80c elastic,0
40094.80c inelastic,0
40094.80c fission,0
40094.80c n2n,0
40094.80c ngamma,0
40094.80c np,0
40094.80c nd,0
40094.80c nt,0
40094.80c n3he,0
40094.80c nalpha,0
40094.80c total nu,0
40094.80c fission chi,0
40096.80c elastic,0
40096.80c inelastic,0
40096.80c fission,0
40096.80c n2n,0
40096.80c ngamma,0
40096.80c np,0
40096.80c nd,0
40096.80c nt,0
40096.80c n3he,0
40096.80c nalpha,0
40096.80c total nu,0
40096.80c fission chi,0
64152.80c elastic,0
64152.80c inelastic,0
64152.80c fission,0
64152.80c n2n,0
64152.80c ngamma,0
64152.80c np,0
64152.80c nd,0
64152.80c nt,0
64152.80c n3he,0
64152.80c nalpha,0
64152.80c total nu,0
64152.80c fission chi,0
64154.80c elastic,0
64154.80c inelastic,0
64154.80c fission,0
64154.80c n2n,0
64154.80c ngamma,0
64154.80c np,0
64154.80c nd,0
64154.80c nt,0
64154.80c n3he,0
64154.80c nalpha,0
64154.80c total nu,0
64154.80c fission chi,0
64155.80c elastic,0
64155.80c inelastic,0
64155.80c fission,0
64155.80c n2n,0
64155.80c ngamma,0
64155.80c np,0
64155.80c nd,0
64155.80c nt,0
64155.80c n3he,0
64155.80c nalpha,0
64155.80c total nu,0
64155.80c fission chi,0
64156.80c elastic,0
64156.80c inelastic,0
64156.80c fission,0
64156.80c n2n,0
64156.80c ngamma,0
64156.80c np,0
64156.80c nd,0
64156.80c nt,0
64156.80c n3he,0
64156.80c nalpha,0
64156.80c total nu,0
64156.80c fission chi,0
64157.80c elastic,0
64157.80c inelastic,0
64157.80c fission,0
64157.80c n2n,0
64157.80c ngamma,0
64157.80c np,0
64157.80c nd,0
64157.80c nt,0
64157.80c n3he,0
64157.80c nalpha,0
64157.80c total nu,0
64157.80c fission chi,0
64158.80c elastic,0
64158.80c inelastic,0
64158.80c fission,0
64158.80c n2n,0
64158.80c ngamma,0
64158.80c np,0
64158.80c nd,0
64158.80c nt,0
64158.80c n3he,0
64158.80c nalpha,0
64158.80c total nu,0
64158.80c fission chi,0
64160.80c elastic,0
64160.80c inelastic,0
64160.80c fission,0
64160.80c n2n,0
64160.80c ngamma,0
64160.80c np,0
64160.80c nd,0
64160.80c nt,0
64160.80c n3he,0
64160.80c nalpha,0
64160.80c total nu,0
64160.80c fission chi,0
92233.80c elastic,0
92233.80c inelastic,0
92233.80c fission,0
92233.80c n2n,0
92233.80c ngamma,0
92233.80c np,0
92233.80c nd,0
92233.80c nt,0
92233.80c n3he,0
92233.80c nalpha,0
92233.80c total nu,0
92233.80c fission chi,0
41093.80c elastic,0
41093.80c inelastic,0
41093.80c fission,0
41093.80c n2n,0
41093.80c ngamma,0
41093.80c np,0
41093.80c nd,0
41093.80c nt,0
41093.80c n3he,0
41093.80c nalpha,0
41093.80c total nu,0
41093.80c fission chi,0
50112.80c elastic,0
50112.80c inelastic,0
50112.80c fission,0
50112.80c n2n,0
50112.80c ngamma,0
50112.80c np,0
50112.80c nd,0
50112.80c nt,0
50112.80c n3he,0
50112.80c nalpha,0
50112.80c total nu,0
50112.80c fission chi,0
50114.80c elastic,0
50114.80c inelastic,0
50114.80c fission,0
50114.80c n2n,0
50114.80c ngamma,0
50114.80c np,0
50114.80c nd,0
50114.80c nt,0
50114.80c n3he,0
50114.80c nalpha,0
50114.80c total nu,0
50114.80c fission chi,0
50115.80c elastic,0
50115.80c inelastic,0
50115.80c fission,0
50115.80c n2n,0
50115.80c ngamma,0
50115.80c np,0
50115.80c nd,0
50115.80c nt,0
50115.80c n3he,0
50115.80c nalpha,0
50115.80c total nu,0
50115.80c fission chi,0
50116.80c elastic,0
50116.80c inelastic,0
50116.80c fission,0
50116.80c n2n,0
50116.80c ngamma,0
50116.80c np,0
50116.80c nd,0
50116.80c nt,0
50116.80c n3he,0
50116.80c nalpha,0
50116.80c total nu,0
50116.80c fission chi,0
50117.80c elastic,0
50117.80c inelastic,0
50117.80c fission,0
50117.80c n2n,0
50117.80c ngamma,0
50117.80c np,0
50117.80c nd,0
50117.80c nt,0
50117.80c n3he,0
50117.80c nalpha,0
50117.80c total nu,0
50117.80c fission chi,0
50118.80c elastic,0
50118.80c inelastic,0
50118.80c fission,0
50118.80c n2n,0
50118.80c ngamma,0
50118.80c np,0
50118.80c nd,0
50118.80c nt,0
50118.80c n3he,0
50118.80c nalpha,0
50118.80c total nu,0
50118.80c fission chi,0
50119.80c elastic,0
50119.80c inelastic,0
50119.80c fission,0
50119.80c n2n,0
50119.80c ngamma,0
50119.80c np,0
50119.80c nd,0
50119.80c nt,0
50119.80c n3he,0
50119.80c nalpha,0
50119.80c total nu,0
50119.80c fission chi,0
50120.80c elastic,0
50120.80c inelastic,0
50120.80c fission,0
50120.80c n2n,0
50120.80c ngamma,0
50120.80c np,0
50120.80c nd,0
50120.80c nt,0
50120.80c n3he,0
50120.80c nalpha,0
50120.80c total nu,0
50120.80c fission chi,0
50122.80c elastic,0
50122.80c inelastic,0
50122.80c fission,0
50122.80c n2n,0
50122.80c ngamma,0
50122.80c np,0
50122.80c nd,0
50122.80c nt,0
50122.80c n3he,0
50122.80c nalpha,0
50122.80c total nu,0
50122.80c fission chi,0
50124.80c elastic,0
50124.80c inelastic,0
50124.80c fission,0
50124.80c n2n,0
50124.80c ngamma,0
50124.80c np,0
50124.80c nd,0
50124.80c nt,0
50124.80c n3he,0
50124.80c nalpha,0
50124.80c total nu,0
50124.80c fission chi,0
19039.80c elastic,0
19039.80c inelastic,0
19039.80c fission,0
19039.80c n2n,0
19039.80c ngamma,0
19039.80c np,0
19039.80c nd,0
19039.80c nt,0
19039.80c n3he,0
19039.80c nalpha,0
19039.80c total nu,0
19039.80c fission chi,0
19040.80c elastic,0
19040.80c inelastic,0
19040.80c fission,0
19040.80c n2n,0
19040.80c ngamma,0
19040.80c np,0
19040.80c nd,0
19040.80c nt,0
19040.80c n3he,0
19040.80c nalpha,0
19040.80c total nu,0
19040.80c fission chi,0
19041.80c elastic,0
19041.80c inelastic,0
19041.80c fission,0
19041.80c n2n,0
19041.80c ngamma,0
19041.80c np,0
19041.80c nd,0
19041.80c nt,0
19041.80c n3he,0
19041.80c nalpha,0
19041.80c total nu,0
19041.80c fission chi,0
33075.80c elastic,0
33075.80c inelastic,0
33075.80c fission,0
33075.80c n2n,0
33075.80c ngamma,0
33075.80c np,0
33075.80c nd,0
33075.80c nt,0
33075.80c n3he,0
33075.80c nalpha,0
33075.80c total nu,0
33075.80c fission chi,0
72174.80c elastic,0
72174.80c inelastic,0
72174.80c fission,0
72174.80c n2n,0
72174.80c ngamma,0
72174.80c np,0
72174.80c nd,0
72174.80c nt,0
72174.80c n3he,0
72174.80c nalpha,0
72174.80c total nu,0
72174.80c fission chi,0
72176.80c elastic,0
72176.80c inelastic,0
72176.80c fission,0
72176.80c n2n,0
72176.80c ngamma,0
72176.80c np,0
72176.80c nd,0
72176.80c nt,0
72176.80c n3he,0
72176.80c nalpha,0
72176.80c total nu,0
72176.80c fission chi,0
72177.80c elastic,0
72177.80c inelastic,0
72177.80c fission,0
72177.80c n2n,0
72177.80c ngamma,0
72177.80c np,0
72177.80c nd,0
72177.80c nt,0
72177.80c n3he,0
72177.80c nalpha,0
72177.80c total nu,0
72177.80c fission chi,0
72178.80c elastic,0
72178.80c inelastic,0
72178.80c fission,0
72178.80c n2n,0
72178.80c ngamma,0
72178.80c np,0
72178.80c nd,0
72178.80c nt,0
72178.80c n3he,0
72178.80c nalpha,0
72178.80c total nu,0
72178.80c fission chi,0
72179.80c elastic,0
72179.80c inelastic,0
72179.80c fission,0
72179.80c n2n,0
72179.80c ngamma,0
72179.80c np,0
72179.80c nd,0
72179.80c nt,0
72179.80c n3he,0
72179.80c nalpha,0
72179.80c total nu,0
72179.80c fission chi,0
72180.80c elastic,0
72180.80c inelastic,0
72180.80c fission,0
72180.80c n2n,0
72180.80c ngamma,0
72180.80c np,0
72180.80c nd,0
72180.80c nt,0
72180.80c n3he,0
72180.80c nalpha,0
72180.80c total nu,0
72180.80c fission chi,0
45103.80c elastic,0
45103.80c inelastic,0
45103.80c fission,0
45103.80c n2n,0
45103.80c ngamma,0
45103.80c np,0
45103.80c nd,0
45103.80c nt,0
45103.80c n3he,0
45103.80c nalpha,0
45103.80c total nu,0
45103.80c fission chi,0
94238.80c elastic,0
94238.80c inelastic,0
94238.80c fission,0
94238.80c n2n,0
94238.80c ngamma,0
94238.80c np,0
94238.80c nd,0
94238.80c nt,0
94238.80c n3he,0
94238.80c nalpha,0
94238.80c total nu,0
94238.80c fission chi,0
94239.80c elastic,0
94239.80c inelastic,0
94239.80c fission,0
94239.80c n2n,0
94239.80c ngamma,0
94239.80c np,0
94239.80c nd,0
94239.80c nt,0
94239.80c n3he,0
94239.80c nalpha,0
94239.80c total nu,0
94239.80c fission chi,0
94240.80c elastic,0
94240.80c inelastic,0
94240.80c fission,0
94240.80c n2n,0
94240.80c ngamma,0
94240.80c np,0
94240.80c nd,0
94240.80c nt,0
94240.80c n3he,0
94240.80c nalpha,0
94240.80c total nu,0
94240.80c fission chi,0
94241.80c elastic,0
94241.80c inelastic,0
94241.80c fission,0
94241.80c n2n,0
94241.80c ngamma,0
94241.80c np,0
94241.80c nd,0
94241.80c nt,0
94241.80c n3he,0
94241.80c nalpha,0
94241.80c total nu,0
94241.80c fission chi,0
94242.80c elastic,0
94242.80c inelastic,0
94242.80c fission,0
94242.80c n2n,0
94242.80c ngamma,0
94242.80c np,0
94242.80c nd,0
94242.80c nt,0
94242.80c n3he,0
94242.80c nalpha,0
94242.80c total nu,0
94242.80c fission chi,0
95241.80c elastic,0
95241.80c inelastic,0
95241.80c fission,0
95241.80c n2n,0
95241.80c ngamma,0
95241.80c np,0
95241.80c nd,0
95241.80c nt,0
95241.80c n3he,0
95241.80c nalpha,0
95241.80c total nu,0
95241.80c fission chi,0
38084.80c elastic,0
38084.80c inelastic,0
38084.80c fission,0
38084.80c n2n,0
38084.80c ngamma,0
38084.80c np,0
38084.80c nd,0
38084.80c nt,0
38084.80c n3he,0
38084.80c nalpha,0
38084.80c total nu,0
38084.80c fission chi,0
38086.80c elastic,0
38086.80c inelastic,0
38086.80c fission,0
38086.80c n2n,0
38086.80c ngamma,0
38086.80c np,0
38086.80c nd,0
38086.80c nt,0
38086.80c n3he,0
38086.80c nalpha,0
38086.80c total nu,0
38086.80c fission chi,0
38087.80c elastic,0
38087.80c inelastic,0
38087.80c fission,0
38087.80c n2n,0
38087.80c ngamma,0
38087.80c np,0
38087.80c nd,0
38087.80c nt,0
38087.80c n3he,0
38087.80c nalpha,0
38087.80c total nu,0
38087.80c fission chi,0
38088.80c elastic,0
38088.80c inelastic,0
38088.80c fission,0
38088.80c n2n,0
38088.80c ngamma,0
38088.80c np,0
38088.80c nd,0
38088.80c nt,0
38088.80c n3he,0
38088.80c nalpha,0
38088.80c total nu,0
38088.80c fission chi,0
56130.80c elastic,0
56130.80c inelastic,0
56130.80c fission,0
56130.80c n2n,0
56130.80c ngamma,0
56130.80c np,0
56130.80c nd,0
56130.80c nt,0
56130.80c n3he,0
56130.80c nalpha,0
56130.80c total nu,0
56130.80c fission chi,0
56132.80c elastic,0
56132.80c inelastic,0
56132.80c fission,0
56132.80c n2n,0
56132.80c ngamma,0
56132.80c np,0
56132.80c nd,0
56132.80c nt,0
56132.80c n3he,0
56132.80c nalpha,0
56132.80c total nu,0
56132.80c fission chi,0
56134.80c elastic,0
56134.80c inelastic,0
56134.80c fission,0
56134.80c n2n,0
56134.80c ngamma,0
56134.80c np,0
56134.80c nd,0
56134.80c nt,0
56134.80c n3he,0
56134.80c nalpha,0
56134.80c total nu,0
56134.80c fission chi,0
56135.80c elastic,0
56135.80c inelastic,0
56135.80c fission,0
56135.80c n2n,0
56135.80c ngamma,0
56135.80c np,0
56135.80c nd,0
56135.80c nt,0
56135.80c n3he,0
56135.80c nalpha,0
56135.80c total nu,0
56135.80c fission chi,0
56136.80c elastic,0
56136.80c inelastic,0
56136.80c fission,0
56136.80c n2n,0
56136.80c ngamma,0
56136.80c np,0
56136.80c nd,0
56136.80c nt,0
56136.80c n3he,0
56136.80c nalpha,0
56136.80c total nu,0
56136.80c fission chi,0
56137.80c elastic,0
56137.80c inelastic,0
56137.80c fission,0
56137.80c n2n,0
56137.80c ngamma,0
56137.80c np,0
56137.80c nd,0
56137.80c nt,0
56137.80c n3he,0
56137.80c nalpha,0
56137.80c total nu,0
56137.80c fission chi,0
56138.80c elastic,0
56138.80c inelastic,0
56138.80c fission,0
56138.80c n2n,0
56138.80c ngamma,0
56138.80c np,0
56138.80c nd,0
56138.80c nt,0
56138.80c n3he,0
56138.80c nalpha,0
56138.80c total nu,0
56138.80c fission chi,0
49113.80c elastic,0
49113.80c inelastic,0
49113.80c fission,0
49113.80c n2n,0
49113.80c ngamma,0
49113.80c np,0
49113.80c nd,0
49113.80c nt,0
49113.80c n3he,0
49113.80c nalpha,0
49113.80c total nu,0
49113.80c fission chi,0
49115.80c elastic,0
49115.80c inelastic,0
49115.80c fission,0
49115.80c n2n,0
49115.80c ngamma,0
49115.80c np,0
49115.80c nd,0
49115.80c nt,0
49115.80c n3he,0
49115.80c nalpha,0
49115.80c total nu,0
49115.80c fission chi,0
sio2.30t elastic,0
sio2.30t inelastic,0
sio2.30t fission,0
sio2.30t n2n,0
sio2.30t ngamma,0
sio2.30t np,0
sio2.30t nd,0
sio2.30t nt,0
sio2.30t n3he,0
sio2.30t nalpha,0
sio2.30t total nu,0
sio2.30t fission chi,0
al27.22t elastic,0
al27.22t inelastic,0
al27.22t fission,0
al27.22t n2n,0
al27.22t ngamma,0
al27.22t np,0
al27.22t nd,0
al27.22t nt,0
al27.22t n3he,0
al27.22t nalpha,0
al27.22t total nu,0
al27.22t fission chi,0
90232.80c elastic,0
90232.80c inelastic,0
90232.80c fission,0
90232.80c n2n,0
90232.80c ngamma,0
90232.80c np,0
90232.80c nd,0
90232.80c nt,0
90232.80c n3he,0
90232.80c nalpha,0
90232.80c total nu,0
90232.80c fission chi,0
73181.80c elastic,0
73181.80c inelastic,0
73181.80c fission,0
73181.80c n2n,0
73181.80c ngamma,0
73181.80c np,0
73181.80c nd,0
73181.80c nt,0
73181.80c n3he,0
73181.80c nalpha,0
73181.80c total nu,0
73181.80c fission chi,0
92232.80c elastic,0
92232.80c inelastic,0
92232.80c fission,0
92232.80c n2n,0
92232.80c ngamma,0
92232.80c np,0
92232.80c nd,0
92232.80c nt,0
92232.80c n3he,0
92232.80c nalpha,0
92232.80c total nu,0
92232.80c fission chi,0
